2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 REST UserService listening on :8090
2026/09/17 14:18:54 metrics listening on :9100
2026/09/17 14:18:54 gRPC UserService listening on :50060
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.253675ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |     1.46982ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.640705ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.087254ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.281841ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.307601ms |       127.0.0.1 | GET      "/v1/drivers/ff76c39c-f552-4dc9-9b7a-903216df18ea"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.999301ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |     1.17031ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.010921ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.447229ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.750524ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    2.095593ms |       127.0.0.1 | GET      "/v1/drivers/5598f1a2-db5f-4b49-a716-ee3bb054dd9b"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.308771ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.386819ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.915981ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.614076ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.076918ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.269564ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.514921ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.045523ms |       127.0.0.1 | GET      "/v1/drivers/ff76c39c-f552-4dc9-9b7a-903216df18ea"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.368259ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.886017ms |       127.0.0.1 | GET      "/v1/drivers/ff76c39c-f552-4dc9-9b7a-903216df18ea"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.361307ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |     762.722µs |       127.0.0.1 | GET      "/v1/drivers/5598f1a2-db5f-4b49-a716-ee3bb054dd9b"
[GIN] 2026/09/17 - 14:21:15 | 200 |     705.984µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |     3.13493ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.246068ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.238257ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.163387ms |       127.0.0.1 | GET      "/v1/drivers/ff76c39c-f552-4dc9-9b7a-903216df18ea"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.013577ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.587801ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.257685ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    2.245898ms |       127.0.0.1 | GET      "/v1/drivers/ff76c39c-f552-4dc9-9b7a-903216df18ea"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.479918ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |     963.197µs |       127.0.0.1 | GET      "/v1/drivers/5598f1a2-db5f-4b49-a716-ee3bb054dd9b"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.710765ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.243133ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |     958.887µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:15 | 200 |     846.168µs |       127.0.0.1 | GET      "/v1/drivers/ff76c39c-f552-4dc9-9b7a-903216df18ea"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.027583ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.268634ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |     1.62046ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    2.287911ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.347096ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.234549ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.041777ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |     845.692µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.428451ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.473628ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.359865ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.196806ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
